children,age,income,comp_risk,marital_d,marital_m,marital_nm,marital_s,marital_w,gender_f,gender_m,gender_nb
-0.5071292935530454,-0.024794662420323563,1.6158989964812192,2,1,0,0,0,0,0,1,0
0.41727700165848475,-0.12170559625000377,0.22142560994650734,3,0,1,0,0,0,1,0,0
0.41727700165848475,-0.024794662420323563,-0.9158573745205125,2,0,0,0,0,1,1,0,0
-0.9693324411588105,1.1865920104506789,-0.02626259730723178,2,0,1,0,0,0,0,1,0
-0.5071292935530454,-1.5269141367803667,-1.3773274333634429,1,0,0,0,0,1,1,0,0
0.41727700165848475,1.0896810766209988,1.4554486515784573,2,0,0,1,0,0,0,1,0
-0.9693324411588105,-0.17016106316484386,-1.053095715855611,1,0,0,1,0,0,0,1,0
2.266089592081545,-0.6547157323132449,-0.07612282249336103,2,1,0,0,0,0,1,0,0
-0.9693324411588105,-0.26707199699452405,0.5293177599882801,1,0,0,0,0,1,0,1,0
-0.044926145947280345,1.1865920104506789,-0.053471834117665186,3,0,0,1,0,0,1,0,0
0.8794801492642498,0.07211627140935664,-0.0696711477857325,2,0,1,0,0,0,1,0,0
-0.5071292935530454,0.5082154736429175,-0.9244128561980199,3,1,0,0,0,0,0,1,0
-0.9693324411588105,-0.6062602653984047,-0.9494832225890765,2,0,0,0,0,1,1,0,0
-0.5071292935530454,-0.41243839773904434,-0.2847152835568511,3,1,0,0,0,0,0,1,0
-0.5071292935530454,1.5257802788545596,0.03744769043060004,2,1,0,0,0,0,1,0,0
-0.5071292935530454,0.16902720523903683,2.2221811017508117,1,1,0,0,0,0,1,0,0
3.6526990348988404,-0.4608938646538845,-0.5694304934804584,2,1,0,0,0,0,0,1,0
-0.9693324411588105,0.023660804494516536,-0.8115436122640185,3,0,0,1,0,0,1,0,0
-0.5071292935530454,0.8958592089616383,0.7445021495573907,2,0,0,0,0,1,1,0,0
-0.9693324411588105,1.4773248119397195,0.7561081513412224,1,0,0,0,1,0,0,0,1
-0.044926145947280345,1.5742357457693998,-1.1151580214670376,3,1,0,0,0,0,1,0,0
0.8794801492642498,-0.07325012933516366,-1.0593019464167535,1,0,0,0,1,0,0,1,0
-0.9693324411588105,-1.0908149345468057,0.6006718797166719,3,0,0,0,0,1,1,0,0
0.41727700165848475,-0.8000821330577652,-0.2739508045609709,2,0,0,0,1,0,0,1,0
-0.9693324411588105,-1.672280537524887,-0.896397160049133,1,0,1,0,0,0,1,0,0
-0.9693324411588105,1.0412256097061587,0.5077888019965197,3,0,1,0,0,0,0,1,0
-0.9693324411588105,-0.26707199699452405,0.4749694132664093,2,1,0,0,0,0,1,0,0
-0.044926145947280345,0.7989482751319581,1.2737147928304207,3,1,0,0,0,0,1,0,0
-0.044926145947280345,0.7504928082171181,-0.5908191976742269,1,0,1,0,0,0,0,1,0
1.341683296870015,0.12057173832419674,-0.2973731888256223,1,0,0,1,0,0,0,1,0
-0.9693324411588105,-0.6062602653984047,4.4395585845536445,2,0,0,0,1,0,1,0,0
0.41727700165848475,-1.0423594676319656,-0.484401628447854,1,0,0,0,0,1,1,0,0
-0.9693324411588105,-1.2846368022061663,0.1428133561720335,3,0,0,0,0,1,0,1,0
-0.044926145947280345,1.1865920104506789,-0.9286905970367736,1,1,0,0,0,0,1,0,0
-0.044926145947280345,1.5742357457693998,-0.18064696544684294,2,1,0,0,0,0,1,0,0
-0.9693324411588105,0.5566709405577577,-0.5320528563156104,2,0,0,1,0,0,1,0,0
-0.5071292935530454,-1.3815477360358464,2.879585716388461,1,1,0,0,0,0,1,0,0
-0.5071292935530454,0.07211627140935664,-1.347453374391163,3,0,0,0,0,1,0,1,0
0.41727700165848475,0.07211627140935664,-0.9617904933628678,2,1,0,0,0,0,0,1,0
0.41727700165848475,0.7989482751319581,-0.9618255568123658,1,0,1,0,0,0,1,0,0
0.41727700165848475,1.2350474773655191,0.49316734355586156,1,0,0,0,0,1,1,0,0
2.7282927396873102,1.5257802788545596,0.4484614454459355,3,1,0,0,0,0,0,1,0
-0.9693324411588105,0.16902720523903683,-0.4037556946024973,2,0,1,0,0,0,1,0,0
-0.044926145947280345,-1.4300032029506864,-1.280271805153031,2,0,0,1,0,0,1,0,0
-0.9693324411588105,-0.6062602653984047,-1.05484888833051,2,0,0,1,0,0,1,0,0
-0.5071292935530454,-1.3815477360358464,0.8282336669585698,3,0,0,1,0,0,1,0,0
2.266089592081545,1.71960214651392,-0.9714329419748127,2,1,0,0,0,0,0,1,0
-0.044926145947280345,0.21748267215387693,-0.1902192871597918,1,0,0,0,0,1,1,0,0
0.41727700165848475,-1.3815477360358464,-0.39502489567749993,1,1,0,0,0,0,0,1,0
-0.5071292935530454,0.31439360598355715,0.5727263104667809,3,0,0,0,1,0,1,0,0
-0.9693324411588105,-0.9939040007171256,2.127264343959777,1,1,0,0,0,0,1,0,0
0.41727700165848475,-0.26707199699452405,0.8337035650802549,2,0,0,1,0,0,0,1,0
-0.5071292935530454,1.4288693450248795,-0.7582121055775891,2,0,0,1,0,0,0,1,0
-0.5071292935530454,0.023660804494516536,0.016830382125787097,3,0,0,0,1,0,1,0,0
-0.9693324411588105,0.6051264074725977,-1.2965763091695923,2,1,0,0,0,0,0,1,0
-0.044926145947280345,0.9443146758764784,-0.8357724558671235,2,0,0,1,0,0,0,0,1
-0.9693324411588105,-0.12170559625000377,-0.3889939823638472,3,0,0,0,1,0,1,0,0
-0.9693324411588105,-0.8969930668874454,0.3299820495922571,2,0,0,0,0,1,1,0,0
0.8794801492642498,1.5742357457693998,3.2424222917935706,2,0,0,1,0,0,0,1,0
-0.5071292935530454,0.31439360598355715,0.23776517741256656,3,1,0,0,0,0,0,1,0
-0.9693324411588105,-0.5093493315687245,-0.48741708510468035,2,0,0,1,0,0,1,0,0
0.41727700165848475,1.71960214651392,-0.6231476981113655,3,1,0,0,0,0,1,0,0
-0.5071292935530454,1.0412256097061587,0.7746567161256546,1,0,0,1,0,0,1,0,0
2.7282927396873102,0.45976000672807743,3.098381641255864,2,0,0,0,0,1,1,0,0
-0.044926145947280345,0.16902720523903683,1.3953849625884156,2,0,0,0,1,0,1,0,0
2.266089592081545,0.16902720523903683,0.33797651607779683,2,0,0,1,0,0,1,0,0
-0.5071292935530454,1.4773248119397195,-0.5078941396115014,2,0,0,1,0,0,0,1,0
-0.9693324411588105,-0.8485375999726052,-0.3913782969297099,2,0,0,0,1,0,1,0,0
-0.5071292935530454,0.16902720523903683,-0.4865755623167288,3,0,1,0,0,0,0,1,0
-0.5071292935530454,0.45976000672807743,1.9055581527840417,1,0,0,0,1,0,0,1,0
0.41727700165848475,-0.6062602653984047,-0.4036855677035013,3,1,0,0,0,0,0,1,0
-0.9693324411588105,-0.9939040007171256,-0.7763048455185474,2,0,0,0,1,0,1,0,0
1.8038864444757798,1.1865920104506789,-0.28681909052673,1,1,0,0,0,0,1,0,0
0.8794801492642498,-0.703171199228085,-0.4436228366817019,3,1,0,0,0,0,0,1,0
-0.044926145947280345,-0.12170559625000377,-0.4038608849509912,1,0,0,0,0,1,0,1,0
-0.9693324411588105,-1.187725868376486,-0.6053354657663911,2,0,0,0,1,0,1,0,0
0.41727700165848475,-1.0423594676319656,-0.5174664613244503,3,1,0,0,0,0,1,0,0
-0.044926145947280345,-1.6238250706100468,3.323944811876377,3,0,0,1,0,0,1,0,0
-0.5071292935530454,-1.672280537524887,1.9673048873499868,2,0,0,1,0,0,0,1,0
3.1904958872930753,-0.9454485338022854,2.167447057084463,2,1,0,0,0,0,1,0,0
-0.9693324411588105,-1.5269141367803667,0.2805075223506056,3,1,0,0,0,0,0,1,0
-0.5071292935530454,1.5742357457693998,-1.1802708471847887,2,0,0,0,1,0,1,0,0
-0.044926145947280345,0.31439360598355715,-1.1231174245030793,2,0,0,1,0,0,1,0,0
0.41727700165848475,1.5742357457693998,2.080068940935494,3,0,0,0,0,1,0,1,0
0.41727700165848475,-0.703171199228085,-0.4653271119209522,2,0,0,0,0,1,1,0,0
-0.9693324411588105,-1.187725868376486,0.45866490924984804,1,0,0,1,0,0,0,1,0
0.41727700165848475,-0.024794662420323563,2.5959224099497935,1,1,0,0,0,0,0,1,0
-0.5071292935530454,-1.6238250706100468,-0.7749724344376241,1,0,0,1,0,0,0,1,0
-0.9693324411588105,-0.31552746390936415,1.1594430109165001,3,0,0,0,1,0,0,1,0
-0.9693324411588105,-1.5269141367803667,0.28702932395723013,2,0,0,0,1,0,0,1,0
0.8794801492642498,0.21748267215387693,0.39825058576482647,1,0,0,0,0,1,1,0,0
-0.9693324411588105,-0.31552746390936415,-0.21006519957564918,2,0,0,1,0,0,1,0,0
-0.9693324411588105,-1.720736004439727,0.4623115079976381,2,0,0,0,1,0,0,1,0
-0.9693324411588105,-1.3815477360358464,-0.4818069331850034,3,0,0,1,0,0,1,0,0
-0.9693324411588105,0.26593813906871705,-0.2602059323577623,2,0,0,1,0,0,1,0,0
0.41727700165848475,0.7504928082171181,0.3340494097340229,2,0,0,0,1,0,1,0,0
0.8794801492642498,1.3804138781100392,-1.2033075335049623,2,0,1,0,0,0,0,1,0
-0.5071292935530454,0.31439360598355715,-0.5531259894638971,3,0,0,0,0,1,1,0,0
0.8794801492642498,0.6051264074725977,0.20403413899550865,3,0,1,0,0,0,1,0,0
-0.5071292935530454,-1.3330922691210063,0.812875876078454,3,0,0,0,0,1,1,0,0
-0.9693324411588105,-0.9454485338022854,0.1846089879736271,3,0,0,1,0,0,1,0,0
0.8794801492642498,1.4773248119397195,-0.9268322342133806,3,0,1,0,0,0,0,1,0
-0.9693324411588105,1.71960214651392,1.3769065247029795,2,0,0,0,1,0,0,1,0
-0.5071292935530454,0.9927701427913186,0.1275256921909137,2,1,0,0,0,0,1,0,0
-0.044926145947280345,-1.4300032029506864,-0.6069483844432982,1,0,1,0,0,0,1,0,0
-0.5071292935530454,0.9927701427913186,1.1795694309283413,3,0,0,0,0,1,1,0,0
-0.5071292935530454,-1.0423594676319656,-1.2518353476101682,2,0,0,0,0,1,0,1,0
-0.9693324411588105,0.21748267215387693,1.664496937485421,3,0,1,0,0,0,0,1,0
-0.5071292935530454,0.9443146758764784,0.09186616405146684,2,0,0,0,0,1,0,1,0
0.41727700165848475,-0.07325012933516366,-1.0448558052235852,3,0,0,0,0,1,1,0,0
-0.9693324411588105,-0.4608938646538845,-1.4056587005578118,2,1,0,0,0,0,0,1,0
-0.9693324411588105,-0.703171199228085,-0.3285445954293276,3,0,0,0,1,0,0,1,0
-0.5071292935530454,-0.6062602653984047,-0.4083490064867328,3,0,0,1,0,0,1,0,0
-0.9693324411588105,1.4773248119397195,-0.5367513585483399,2,1,0,0,0,0,1,0,0
0.41727700165848475,1.71960214651392,-0.06188706199718067,1,0,0,0,1,0,1,0,0
-0.9693324411588105,-0.7516266661429251,-0.8582831904448274,3,0,0,1,0,0,1,0,0
-0.9693324411588105,-0.5093493315687245,0.3284041943648479,2,0,0,1,0,0,1,0,0
2.266089592081545,0.7989482751319581,0.07177480748912363,2,0,0,0,0,1,0,1,0
-0.5071292935530454,-1.236181335291326,-0.7923288419391248,2,1,0,0,0,0,0,1,0
0.8794801492642498,-0.8000821330577652,-0.2818050172485187,2,0,1,0,0,0,1,0,0
0.41727700165848475,0.7504928082171181,-1.0962938856371236,3,0,1,0,0,0,0,1,0
0.41727700165848475,0.7989482751319581,-0.038359487384035294,2,0,0,0,1,0,0,1,0
-0.5071292935530454,-0.5093493315687245,-0.16592031665769086,2,0,0,0,1,0,0,1,0
0.41727700165848475,0.07211627140935664,-0.7156450778870399,1,0,0,0,1,0,1,0,0
0.41727700165848475,0.7504928082171181,-0.6197816069595593,2,0,0,0,1,0,1,0,0
